Antibiotic,Avg,SD,Conc (ng/mL)
Levo,0.096,0.001,0.313
Levo,0.096,0.001,0.313
Levo,0.096,0.001,0.313
Levo,0.097,0.001,0.313
Levo,0.1,0.002,0.313
Levo,0.103,0.002,0.313
Levo,0.109,0.004,0.313
Levo,0.12,0.006,0.313
Levo,0.138,0.009,0.313
Levo,0.162,0.012,0.313
Levo,0.193,0.013,0.313
Levo,0.219,0.01,0.313
Levo,0.222,0.01,0.313
Levo,0.217,0.013,0.313
Levo,0.22,0.015,0.313
Levo,0.222,0.017,0.313
Levo,0.224,0.018,0.313
Levo,0.227,0.02,0.313
Levo,0.232,0.023,0.313
Levo,0.238,0.026,0.313
Levo,0.245,0.031,0.313
Levo,0.251,0.032,0.313
Levo,0.261,0.034,0.313
Levo,0.272,0.039,0.313
Levo,0.281,0.042,0.313
Levo,0.291,0.044,0.313
Levo,0.304,0.043,0.313
Levo,0.316,0.047,0.313
Levo,0.331,0.048,0.313
Levo,0.347,0.05,0.313
Levo,0.365,0.052,0.313
Levo,0.38,0.059,0.313
Levo,0.401,0.062,0.313
Levo,0.418,0.064,0.313
Levo,0.439,0.072,0.313
Levo,0.456,0.074,0.313
Levo,0.474,0.076,0.313
Levo,0.489,0.076,0.313
Levo,0.505,0.074,0.313
Levo,0.522,0.073,0.313
Levo,0.535,0.069,0.313
Levo,0.549,0.066,0.313
Levo,0.563,0.061,0.313
Levo,0.575,0.059,0.313
Levo,0.588,0.057,0.313
Levo,0.596,0.052,0.313
Levo,0.607,0.052,0.313
Levo,0.616,0.051,0.313
Levo,0.627,0.05,0.313
Nor,0.093,0.0015,2.5
Nor,0.093,0.002,2.5
Nor,0.094,0.0015,2.5
Nor,0.094,0.002,2.5
Nor,0.096,0.0015,2.5
Nor,0.098,0.002,2.5
Nor,0.102,0.002,2.5
Nor,0.11,0.0025,2.5
Nor,0.123,0.0035,2.5
Nor,0.142,0.004,2.5
Nor,0.17,0.005,2.5
Nor,0.204,0.0055,2.5
Nor,0.232,0.005,2.5
Nor,0.249,0.0065,2.5
Nor,0.265,0.0095,2.5
Nor,0.278,0.012,2.5
Nor,0.293,0.016,2.5
Nor,0.309,0.018,2.5
Nor,0.317,0.021,2.5
Nor,0.33,0.0275,2.5
Nor,0.341,0.0315,2.5
Nor,0.357,0.0305,2.5
Nor,0.371,0.0325,2.5
Nor,0.386,0.034,2.5
Nor,0.402,0.04,2.5
Nor,0.433,0.031,2.5
Nor,0.453,0.0305,2.5
Nor,0.474,0.0315,2.5
Nor,0.497,0.0285,2.5
Nor,0.517,0.0265,2.5
Nor,0.538,0.0335,2.5
Nor,0.55,0.0365,2.5
Nor,0.563,0.0365,2.5
Nor,0.573,0.032,2.5
Nor,0.585,0.0325,2.5
Nor,0.594,0.0305,2.5
Nor,0.608,0.03,2.5
Nor,0.614,0.027,2.5
Nor,0.622,0.026,2.5
Nor,0.629,0.025,2.5
Nor,0.636,0.025,2.5
Nor,0.643,0.026,2.5
Nor,0.648,0.023,2.5
Nor,0.651,0.019,2.5
Nor,0.653,0.021,2.5
Nor,0.663,0.015,2.5
Nor,0.67,0.018,2.5
Nor,0.67,0.015,2.5
Nor,0.67,0.0145,2.5
